,article,sentiment,Week_number
0,0번쨰 기사입니다,0,1
1,돈 호조로 입식 는 영향새해 역시 증가세 이어,1,1
2,연간 출하물량인 1천654만마리를 넘어섰다,0,1
3,연말까지 1천670만두에 이를 것으로 예상된다,0,1
4,연속 사상최고의 출하두수 기록을 세우게 됐다,1,1
5,결과로 새해도 출하 증가세가 이어질 전망이다,1,1
6,돈 하락 시 경영 악화 우려이유 후 육성에 관심 집중을양돈농가 중 절반이 넘는 농가가 MSY 18두 미만을 기록하고 ,-1,1
7,농가의 생산 성적을 최종 취합한 결과,0,1
8,가격 하락시 이들 농가들의 경영악화가 우려되고 ,-1,1
9,농가수 비율 분석 자료에 따르면 3천320농가 중 ,0,1
10,비교해 봤을 때 MSY 18두 미만 비율은 56.5,0,1
11,소폭 늘어났다,0,1
12,이유 후 육성률이 낮아진 영향으로 풀이되고 ,-1,1
13,이후 약세로 역부족지난해 돼지 값이 전년 대비 오르면서 4년 연속 4천500원,-1,1
14,가량 올랐다,0,1
15,이상을 기록하며 호황을 이어갔다,1,1
16,돈가 강세를 뒷받침한 결과다,1,1
17,문턱은 넘지 못했다,0,1
18,이후 물량 증가로 강세를 이어,1,1
19,최고종개협  신규 종돈장 입식에다 일반농장 직수입 여파작년 종돈 수입 물량이 크게 증가하며 5년 만에 4천두를 넘어섰다,0,1
20,지난해 종돈수입두수는 통관 기준 4천409두로 전년 3천76두에 비해 43.3,0,1
21,두에 이어 사상 3번째 많은 물량이다,0,1
22,두로 가장 많았으며 그 다음이 프랑스 1천258두,0,1
23,품종별로 보면 ,0,1
24,수 126두) △버크셔,0,1
25,업체 10곳에서 165두를 수입했다,0,1
26,특히 일반 농장에서 수입 물량이 전년,1,1
27,수입한 물량도 한 몫 했다,0,1
28,값 하락세가 올해도 이어질 전망이다,-1,1
29,지난해 1월(4천582원)에는 미치지 못할 것으로 내다봤다,-1,1
30,전 수준을 밑돌 것으로 예상했다,-1,1
31,전년 대비 상승세를 기록했으나 10월부터 하락세로 전환됐으며 농경연 전망에 따르면 적어도 내년 상반기까지는 이 같은 흐름이 내내 지속된다는 것이다,-1,1
32,늘고 3월과 6월을 제외하고,0,1
33,이에 따라 상반기 돼지 출하물량은 1,0,1
34,많을 것으로 추산됐다,0,1
35,한돈 생산이 늘면서 수입량은 감소,0,1
36,또 이 기간 돼지 사육두수는 전년 대비 1.6,0,1
37,해로 만들겠다고 ,1,1
38,이중 축산 사육 환경도 근본적으로 개선할 것이라고 강조했다,0,1
39,산란계 신규농장에게는 보다 넓어진 사육밀도 기준을 적용할 것이라고 강조했다,0,1
40,사육환경 표시 제도를 도입하겠다고 ,1,1
41,관계부처와 협의를 거쳐 구제방안을 마련하겠다고 ,0,1
42,1번쨰 기사입니다,0,2
43,만두 넘었다종개협 작년 22만두 전년보다 10.8% 증가최근 3년 연속 후보돈,1,2
