week,sentence,sentiment
0,양돈용 배합사료 생산량이 크게 증가했다,neutral
0,가 각각 늘어난 57만,positive
1,선보였다,neutral
1,부경양돈 M,neutral
2,대한한돈협회(회장 하태식)가 돼지정산 방식 개선과 관련,neutral
2,이번엔 등급정산제를 적용하지 않는 육가공업체의 명단 공개 계획이 그 주요 내용이다,neutral
2,한돈협회는 구랍,negative
3,‘적정 사육두수’ 판단 혼란,negative
3,밀사 해소가 주요 과제로 담길 정도다,neutral
3,해결이 어려운 국내 양돈현장의 구조적인 한계가 여실히 드러났다,negative
3,생산성에 극명한 차이를 보이는 것으로 나타났다,neutral
4,한번 입증됐다,positive
4,한돈자조금관리위원회(위원장 하태식,neutral
4,이번 연구의 책임을 맡은 강원대학교 동물생명과학대학 축산식품과학 전공 장애라 교수팀에 따르면 시중에 유통중인 국내산 돼지고기와 냉장 수입돼지고기를 수거,neutral
5,작년 종돈 수입 물량이 크게 증가하며 5년  4천두를 넘어섰다,neutral
5,종축개량협회에 따르면 지난해 종돈수입두수는 통관 기준 4천409두로 전년 3천,neutral
6,위원장 하태식)는 무술년 새해 첫날인 지난 1일 국민과 함께 하는 ,neutral
7,당진지역 소외계층에 전달했다,positive
7,당진양돈작목반은 구랍 15일 당진시의회,neutral
8,지난해 돼지가격이 사상 최고치를 기록했다,negative
8,축산물품질평가원에 따르면 지난 한해 전국 도매시장에서 거래된 돼,neutral
9,총 4천409두 들어와,neutral
9,상회지난해 4천409두의 종돈이 수입된 것으로 집계됐다,neutral
9,전년의 급증세가 이어진 것으로,neutral
9,가 늘어났다,neutral
9,정도로 큰 폭의 증가세를 보이고 ,neutral
9,그러다보니 2년전인 2015년 1천525두와 비교할 때는 무려 ,neutral
9,두 배가 넘은 것이다,neutral
9,지난해 종돈수입량이 사상 최대치는 아니다,neutral
10,"MSY 18두 미만한돈 하락 시 경영 악화 우려",negative
10,한돈협회는 최근 2017년도 한돈팜스 전산 성적 보고회를 개최,neutral
11,사육 환경 변화의 원년인 해로  선포했다,neutral
11,김영록 농림축산식품부 장관은 최근 신년사에서 금년 10대 주요정책,neutral
12,값 하락세가 올해도 이어질 전망이다,negative
12,이달 돼지 값이 4천200~4천500원으로 4천500원을 웃돌았던 지난해 1,neutral
13,"늘어한돈 호조로 입식 는 영향",positive
14,"↑10월 이후 약세로 역부족",negative
15,종돈개량 앱 프로그램 개발에 착수했다,neutral
15,개발에 착수했다고 ,positive
15,김성수 종축개,negative
16,올 양돈시장은 어떨까,neutral
16,내놓은 보고서를 종합한 결과 지난해 보다는 가격이 떨어지지만 ,neutral
16,정도 하락할 것으로 내다보고 ,negative
16,큰 폭의 수정은 없을 것으로 보인다,neutral
17,행보를 넓히고 ,neutral
17,등급정산제 전면실시 를 육가공업계에 촉구한데 ,neutral
17,등급정산제 대열에 합류치 않는 육가공업체를 우회적으로 압박하고 ,negative
17,지난달부터는 전국 9개도를 순회하며 각,neutral
18,브랜드농 출하 35만두 분석생체중 104,neutral
18,농가수익↑ 기대박피도축 중단이후 등급정산제의 필요성이 대두되면서 그 도입이 급물살을 타고 ,positive
18,막연한 불안감이 양돈농가들 사이에 적지 않은 상황,negative
18,요구하는 사례도 전해지고 ,neutral
18,출하체중 관리부터 시도해 보면 어떨까,neutral
18,◆ 작년 브랜드농 출하돈,neutral
19,돼지도축두수가 사상 최대치를 경신했다,neutral
19,상위등급 출현율도 상승했다,neutral
19,축산물품질평가원에 따르면 돼지도축두수의 바로미터인 돼지도체등급판정실적은,neutral
20,자회사 경영진에 대한 개편에 착수했다,neutral
20,도드람푸드는 지난 1일 신임 대표이사로 김청룡 전 NH,neutral
21,제주도에 타 지방 돼지고기의 반입이 허용되면서 제주도 양돈농가 채산성이 악화될 수 있다는 보고서가 나왔다,negative
21,한국은행 제주본부는 최근 지역 경제보고서를 통해 제주산에 비해 저렴한 육지 돼지고기가,neutral
22,농가 체감 가격 낮게 보여,neutral
22,지난해 12월 13일부터 도매시장 박피 도축 중단으로,neutral
23,돈육 수입 6년만에 최고,positive
23,지난해 돼지고기 수입량이 크게 늘면서 ,negative
23,구제역 직후인 11년(37만1천톤)을 제외하고 ,neutral
23,식품의약품안전처에 따르면 12월 돼지고기 수입량은 3만톤으로 전,neutral
24,연속 거래량 제로를 기록한 것으로 나타났다,neutral
24,한국,neutral
25,"농축산부 방역 강화 위해일시 이동중지 명령 대상 전염병에 아프리카돼지열병",negative
26,소폭 줄었다,neutral
26,생산성은 신통치 못했다,negative
26,최근 양,neutral
27,돼지 값은 약세가 불가피할 것으로 전망됐다,negative
27,공통적으로 돼지 출하 증가와,neutral
28,만두 넘었다,neutral
28,이상인 22만두 이상이 판매,neutral
28,종축,neutral
29,돼지 구제역백신 항체형성률이 크게 개선된 것으로 확인됐다,positive
29,취약농장 중심,neutral
30,회장 하태식)는 오는 16일 서울 양재동 aT센터 세계로룸에서 악취저감 우수제품에,positive
31,혁신센터 건립기금 모금에 소매를 걷어부쳤다,negative
31,혁신센터 건립기금 5천만원을 기탁했다,neutral
31,하태식 회장이 3천만,neutral
32,가축분뇨의 불법수집 운반 행위를 근본적으로 차단할 수 있는 대책마련이 시급하다는 지적이다,negative
32,양축현장에서는 불법 수집운반 업체가 우후죽순으로 생겨나고 ,negative
32,없는 분위기가 조성되고 있다는 것이다,negative
32,운반업 허가를 받,neutral
33,증가하면서 종돈업계의 위기감도 점차 높아지고 ,negative
33,대응의 필요성도 제기되고 ,neutral
33,두가 비육농장에 의해 들어왔다,neutral
33,전년대비 ,neutral
33,전체 종돈수입 증가폭,neutral
33,직수입 비육농장 숫자도 전년의 31개소에서 39개소로 8개소가 늘었다,neutral
34,양돈현장의 방역관리에도 비상이 걸렸다,negative
34,생산성 저하나 폐사가 심각한 것으로 전해졌다,negative
34,지난해 말부터 남부지역에서 시작해 계속 북상,neutral
35,덴마크 달름 전문대학의 장기 연수생’을 모집한다,neutral
35,총 15주,neutral
36,조합장 최덕식)은 지난 15일 조합 본점 3층 소회의실에서,neutral
37,선물세트는 어떨까,neutral
37,기쁨도 함께 누릴 수 있다,positive
37,한돈 선물세트 캠페인’에 착수했다,neutral
37,맞는 이번 캠페인의 주제는 ‘나눔,neutral
38,일선 지자체의 악취관리지역 지정이 잇따라 추진되고 ,negative
38,양돈업계에선 개별농장 지정 수준을 넘어 악취관리지역 지정 양돈장의 지역화가 본격화 되는 것 아니냐는 위기감도 고조되고 ,negative
38,측정 결과 못 믿어,negative
38,도민 공청회를 가졌다,neutral
38,이상 민원이 지속된 데다 지난해 실시한 악취농도 측정 결과 배출허용기준을 크게 초과,negative
39,정부 방침에 양돈업계가 강한 우려를 표출하고 ,negative
