,term,MAE,MSE,RMSE,MAPE
0,2train_size-2predict_size,589.345023578501,697399.5339451995,835.1045048047577,13.878127907268986
1,2train_size-3predict_size,364.91826714409723,239463.38759761,489.3499643380083,10.562124627427744
2,2train_size-4predict_size,440.7713679133235,426599.02446962055,653.1454849186516,11.133863892674846
3,2train_size-5predict_size,402.3244111434273,279197.43619995395,528.3913665077752,11.597856990252454
4,2train_size-6predict_size,327.03821734652496,176812.8319770602,420.4911794283683,9.193169528289186
5,2train_size-7predict_size,519.310201360442,522503.5014466365,722.8440367372733,13.109035910306622
6,3train_size-2predict_size,646.9244933102858,745277.951090045,863.294822809708,15.515167467786398
7,3train_size-3predict_size,257.9193526510697,111608.31217916496,334.0783024668992,7.039643346480442
8,3train_size-4predict_size,248.64075696790542,104522.38116250955,323.29921305581547,6.492839052040285
9,3train_size-5predict_size,380.87610181725546,342726.16232575325,585.4281871636804,9.498956115523313
10,3train_size-6predict_size,470.03548132613275,351356.9516756533,592.7537023719492,13.340186520444059
11,3train_size-7predict_size,313.4950280780882,161946.88705114616,402.4262504498758,8.650870611940164
12,4train_size-2predict_size,574.458032618232,689949.9895455274,830.6322829902094,13.563746276008601
13,4train_size-3predict_size,249.4683374110943,105240.84152203317,324.40844859841917,6.921435275617889
14,4train_size-4predict_size,399.87513064822633,274111.82159550145,523.5568943252505,11.46867632475794
15,4train_size-5predict_size,462.2859958814538,414078.60892154044,643.4894007841469,11.899030169081529
16,4train_size-6predict_size,385.7763251632941,326218.1376092764,571.1550906796475,9.764514846979756
17,4train_size-7predict_size,434.46329707889765,448992.95227312297,670.0693637774548,10.459532104111368
18,5train_size-2predict_size,902.6363636363636,1281629.35828877,1132.0907023241425,20.27513399257422
19,5train_size-3predict_size,448.2408495393705,325856.1016928957,570.8380695897005,12.729281062316018
20,5train_size-4predict_size,289.5495595571157,146277.1831774954,382.4620022662322,8.242108287351362
21,5train_size-5predict_size,406.58827620796535,276233.51657351514,525.5792200739248,11.524661433164257
22,5train_size-6predict_size,522.8029220386499,410399.9226306688,640.6246347360276,14.701289718844466
23,5train_size-7predict_size,532.2019347665448,478801.62742996414,691.9549316465374,14.130316141568006
24,6train_size-2predict_size,299.8327852136949,145258.4494478586,381.1278649585446,8.437440802501602
25,6train_size-3predict_size,306.75026295432906,164013.54260266028,404.98585481799273,8.757845846967964
26,6train_size-4predict_size,373.2851103911529,250811.05843459844,500.8104016837095,10.801228438970318
27,6train_size-5predict_size,554.9182757833729,614011.7608235641,783.5890254614112,13.642218953920604
28,6train_size-6predict_size,433.7651429445583,376711.161429758,613.768002937395,11.30820899600424
29,6train_size-7predict_size,276.241041533801,136724.7899717959,369.7631538861003,7.68131294460162
30,7train_size-2predict_size,266.52800240746154,126990.91274787573,356.35784367384946,7.557101225498326
31,7train_size-3predict_size,408.98834687920026,288687.98097831866,537.2969206856844,11.768082337853773
32,7train_size-4predict_size,466.90131604993667,451712.5054253244,672.095607354582,11.892239263409847
33,7train_size-5predict_size,439.2870013693105,397580.9802446881,630.5402288868555,11.320504065607896
34,7train_size-6predict_size,386.2248882022712,261784.64600809384,511.64894801816394,11.142525479451356
35,7train_size-7predict_size,411.1841320475005,341006.3441449536,583.9574848779264,10.771312026844663
36,8train_size-2predict_size,216.59730766418784,81678.67312735511,285.79480948287903,5.906781002440127
37,8train_size-3predict_size,305.21812170978944,164661.29507002223,405.78478910627274,8.726663875733683
38,8train_size-4predict_size,323.1662732923353,179291.6726215043,423.42847403251506,9.184416098030127
39,8train_size-5predict_size,308.0096899944803,162560.99338630418,403.1885333021069,8.717310203953474
40,8train_size-6predict_size,301.360595703125,163245.53831745722,404.036555669728,8.653620089969904
41,8train_size-7predict_size,332.63006428908704,187428.4449513368,432.93006935455156,9.37135718542317
42,9train_size-2predict_size,254.50287289542948,105985.3188511938,325.5538647462103,7.045905575687556
43,9train_size-3predict_size,309.08799300655244,161255.0524191023,401.56575105342625,8.751505062244146
44,9train_size-4predict_size,360.9365099107897,239357.75036286993,489.2420161462729,10.499331190007156
45,9train_size-5predict_size,486.81857804008155,461744.6893340135,679.5179830836072,12.904760949221547
46,9train_size-6predict_size,572.953683099243,547386.1118212965,739.8554668455837,15.405952163318752
47,9train_size-7predict_size,284.50851349403945,139254.6726882405,373.1684240235775,7.839156226649667
48,10train_size-2predict_size,540.9059582062583,671552.5529049988,819.4831010490691,12.563539529627166
49,10train_size-3predict_size,305.879389280914,158912.4814605183,398.6382839875246,8.672607607638582
50,10train_size-4predict_size,395.0470561259502,274456.70276121184,523.8861543896841,11.44968545429132
51,10train_size-5predict_size,316.3827379309613,173915.91340913702,417.0322690261954,8.974762659709144
52,10train_size-6predict_size,282.4957882406933,134737.4449224647,367.06599532300004,7.737787363532384
53,10train_size-7predict_size,383.1650856293539,259461.52176895083,509.37365633584824,11.072323571592063
54,11train_size-2predict_size,567.111312458222,682184.0786160664,825.9443556415083,13.288721367797098
55,11train_size-3predict_size,368.22723935581877,248173.34645216985,498.1699975431779,10.717643444623254
56,11train_size-4predict_size,325.64300108213683,197930.98540846643,444.8943530867372,9.471220028277989
57,11train_size-5predict_size,425.88522657311483,306322.7018849717,553.4642733591498,12.212575906748734
58,11train_size-6predict_size,322.29984159764916,174102.425861499,417.25582783407475,9.045409342476459
59,11train_size-7predict_size,386.0562947271757,260850.56725282525,510.73532015401605,11.111538362794414
60,12train_size-2predict_size,344.89843358330546,181709.50484979918,426.2739786214955,9.696539413528543
61,12train_size-3predict_size,199.0352520686324,75599.89349784679,274.95434802498903,5.462703712739296
62,12train_size-4predict_size,222.7113343934755,89738.48826481837,299.563830034299,5.988902089128267
63,12train_size-5predict_size,295.28092412533965,155338.9380040648,394.1306103363006,8.403552670344498
64,12train_size-6predict_size,319.335776740736,178452.37618200024,422.43623919119466,9.026292658403106
65,12train_size-7predict_size,383.33624143016584,260408.46988924747,510.30233184774636,11.07810563590768
66,13train_size-2predict_size,299.68888846820687,147194.58417277172,383.65946381233937,8.489018181663978
67,13train_size-3predict_size,387.567381937444,269804.6677466906,519.4272497151941,11.24913539823958
68,13train_size-4predict_size,242.92685975770692,105645.87481281346,325.0321135100553,6.8194680563687635
69,13train_size-5predict_size,302.2250647503397,160227.11017516474,400.2837870500937,8.583829269144525
70,13train_size-6predict_size,425.9828045398594,368185.1564828755,606.782627044377,11.101373168742859
71,13train_size-7predict_size,352.97655521794053,288852.4662891712,537.4499663123732,9.082045219372596
72,14train_size-2predict_size,269.85234257499167,127254.30810729976,356.7272180634662,7.65142792727413
73,14train_size-3predict_size,284.1443575513833,142705.13339021313,377.7633298643651,8.060565093938408
74,14train_size-4predict_size,324.24825175517316,186228.45073505503,431.5419455105784,9.309840381051158
75,14train_size-5predict_size,237.39719370966372,98535.40415000974,313.90349496303753,6.294436322567165
76,14train_size-6predict_size,320.49651777201444,175208.6223769599,418.57929043009267,9.021220084765561
77,14train_size-7predict_size,268.0351399611828,126998.90240637666,356.36905365979334,7.319651142029077
78,15train_size-2predict_size,248.8436905967998,100269.42374565943,316.6534758149031,6.854284295185009
79,15train_size-3predict_size,283.438224546371,137476.76990223315,370.77859957423806,8.0530219482721
80,15train_size-4predict_size,261.96221362964525,116167.60351572325,340.83368893893584,7.1624463749583756
81,15train_size-5predict_size,237.34956558890966,99916.95422837326,316.0964318501132,6.355917613356338
82,15train_size-6predict_size,395.7780090220856,272846.77708807634,522.3473720505124,11.417170491121174
83,15train_size-7predict_size,681.3172379378434,722968.3374136547,850.2754479659251,17.724625817348105
84,16train_size-2predict_size,592.3712771818599,716630.0926875079,846.5400715190675,14.202366829809948
85,16train_size-3predict_size,340.61720018831204,215561.42718740975,464.2859325754009,9.897135697686268
86,16train_size-4predict_size,251.5044225744299,113122.54885171339,336.33695730875814,6.998263715990231
87,16train_size-5predict_size,318.1408444611923,175137.16531704538,418.4939250658788,9.005876587060088
88,16train_size-6predict_size,258.2827815488388,121741.12896786242,348.9142143390871,7.129954010830784
89,16train_size-7predict_size,283.1633789445766,142520.1783039937,377.5184476340113,7.914507256480741
90,17train_size-2predict_size,627.336576573989,761557.8894187796,872.672842145772,15.292684473438435
91,17train_size-3predict_size,417.3639747318828,299436.5856644803,547.2079912286372,12.041188557731614
92,17train_size-4predict_size,228.0421911291174,92155.03341859023,303.5704752089541,6.308337138284238
93,17train_size-5predict_size,322.57249649711275,178635.13672686453,422.6525011482418,9.136776068393424
94,17train_size-6predict_size,315.88843418253356,170167.6576076357,412.5138271714485,8.898887614087968
95,17train_size-7predict_size,340.73287317105326,194441.05822636074,440.95471221698125,9.598812174338994
96,18train_size-2predict_size,192.9733716995321,64227.95807018382,253.43235403196613,5.157252604244459
97,18train_size-3predict_size,317.95765954021056,161759.7338081906,402.19365212319127,8.930421860164323
98,18train_size-4predict_size,575.4482695708404,689072.7846727691,830.1040806265014,13.56909190324963
99,18train_size-5predict_size,396.4771967348845,267428.3262246773,517.1347273435399,11.328721247602017
100,18train_size-6predict_size,441.97802912255236,378376.59080038196,615.1232322066709,11.617050732465547
101,18train_size-7predict_size,344.56437513031057,282083.10902214603,531.1149678008953,8.6390726398392
