,term,MAE,MSE,RMSE,MAPE
78,15train_size-2predict_size,207.5042157,77382.2903,278.1767249,5.772048105
114,21train_size-2predict_size,217.1441017,83242.27409,288.5173722,6.035060805
24,6train_size-2predict_size,219.8165551,85224.6203,291.9325612,6.007478528
108,20train_size-2predict_size,230.8427023,92644.3838,304.3753995,6.418540622
68,13train_size-4predict_size,233.6325311,98685.7094,314.1428169,6.344931694
96,18train_size-2predict_size,234.292801,90958.31491,301.5929623,6.415680605
103,19train_size-3predict_size,235.3511827,97661.17759,312.5078841,6.54904904
54,11train_size-2predict_size,243.5213891,104832.7336,323.7788344,6.876173211
6,3train_size-2predict_size,253.0641868,105360.36,324.5926063,7.009432599
12,4train_size-2predict_size,257.4693884,113604.3604,337.0524594,7.249469331
38,8train_size-4predict_size,261.4790884,117915.6816,343.3885287,7.182009461
55,11train_size-3predict_size,262.7375545,119799.357,346.1204372,7.368769502
116,21train_size-4predict_size,266.3290277,121718.1999,348.8813551,7.469925644
49,10train_size-3predict_size,267.7920727,121148.939,348.0645616,7.434296581
36,8train_size-2predict_size,271.6461404,129701.4687,360.1409012,7.781299333
92,17train_size-4predict_size,281.0700476,139922.6423,374.0623508,7.924108857
66,13train_size-2predict_size,283.2550728,140348.6856,374.6313997,8.033771576
61,12train_size-3predict_size,283.5955881,142265.0154,377.1803486,8.052815549
115,21train_size-3predict_size,284.6559595,144074.3176,379.5712286,8.098550597
19,5train_size-3predict_size,284.6659132,143738.296,379.1283371,8.087961384
13,4train_size-3predict_size,292.0929323,153034.8744,391.1967209,8.378076256
80,15train_size-4predict_size,300.2679704,148659.4997,385.5638724,8.342547766
107,19train_size-7predict_size,301.4025827,159702.6117,399.6280918,8.529933457
65,12train_size-7predict_size,304.0951593,159835.8866,399.7948056,8.510870276
30,7train_size-2predict_size,305.6749907,154388.4793,392.9229941,8.64689732
63,12train_size-5predict_size,308.9994815,160960.154,401.1983974,8.597184189
44,9train_size-4predict_size,310.3858319,168017.4926,409.8993689,8.819327536
11,3train_size-7predict_size,313.812202,163641.744,404.5265677,8.731293706
37,8train_size-3predict_size,315.6544688,160020.5645,400.0257048,8.796777048
84,16train_size-2predict_size,320.848217,176378.5869,419.9745074,9.192753517
93,17train_size-5predict_size,322.5863454,182484.1852,427.1816771,9.248361532
71,13train_size-7predict_size,326.2060721,189353.8839,435.1481172,9.314674907
85,16train_size-3predict_size,328.2863752,188147.0776,433.7592392,9.40080867
83,15train_size-7predict_size,331.3698424,192685.1419,438.9591574,9.442704032
110,20train_size-4predict_size,334.4340579,187610.1977,433.1399285,9.4501024
29,6train_size-7predict_size,336.608293,196805.4966,443.6276553,9.583221054
111,20train_size-5predict_size,336.7175105,203974.7546,451.6356436,9.544908876
33,7train_size-5predict_size,337.8182009,192601.4265,438.8637904,9.584311659
35,7train_size-7predict_size,343.1921475,197174.1218,444.0429279,9.670838166
117,21train_size-5predict_size,343.4854099,201903.7494,449.3370109,9.745286564
9,3train_size-5predict_size,343.7786146,196836.6923,443.6628138,9.687031607
112,20train_size-6predict_size,348.8178182,206255.074,454.1531394,9.899630622
2,2train_size-4predict_size,350.4127966,215144.4154,463.8366258,10.04873304
60,12train_size-2predict_size,356.9771839,234984.8515,484.752361,10.41073738
67,13train_size-3predict_size,361.3806502,215548.1648,464.2716498,10.2155248
59,11train_size-7predict_size,370.4433944,231880.9076,481.5401412,10.46881063
32,7train_size-4predict_size,372.0004573,239994.5873,489.8924242,10.66173526
88,16train_size-6predict_size,373.2378626,318300.5782,564.1813345,9.451246353
53,10train_size-7predict_size,376.4537969,252512.4327,502.5061519,10.88943095
50,10train_size-4predict_size,378.4539376,258745.0409,508.6698742,10.9976633
42,9train_size-2predict_size,379.3352625,208729.0849,456.868783,10.46487744
104,19train_size-4predict_size,379.9878418,253800.3377,503.7860039,10.95945748
98,18train_size-4predict_size,380.8414062,262392.1991,512.2423246,11.09023503
34,7train_size-6predict_size,387.5561008,267138.0583,516.8540009,11.25681235
57,11train_size-5predict_size,395.203763,353036.046,594.168365,9.868752366
51,10train_size-5predict_size,396.4737955,356544.8787,597.1137904,10.02923771
46,9train_size-6predict_size,396.8646002,336003.0121,579.657668,10.22173921
91,17train_size-3predict_size,401.7045321,280530.5133,529.6513129,11.582014
16,4train_size-6predict_size,403.3400294,338899.5186,582.1507696,10.21369
14,4train_size-4predict_size,410.0322038,285041.4442,533.8927272,11.76062179
40,8train_size-6predict_size,410.2048158,287535.3023,536.2231833,11.76472968
77,14train_size-7predict_size,411.5303965,289169.9142,537.7452131,11.78131706
62,12train_size-4predict_size,415.5863816,292331.0429,540.6764678,11.92976251
76,14train_size-6predict_size,415.6180037,295149.8611,543.2769653,11.91984093
17,4train_size-7predict_size,416.9988052,339916.3322,583.0234405,10.81498776
58,11train_size-6predict_size,417.4089656,359724.1935,599.7701172,10.90810928
113,20train_size-7predict_size,417.4920683,351364.3134,592.7599121,11.11300867
3,2train_size-5predict_size,417.9393921,292232.3537,540.5851956,11.92694196
47,9train_size-7predict_size,418.221777,298563.2206,546.4093892,12.0349615
95,17train_size-7predict_size,418.2861721,351783.1282,593.1130822,11.14389001
97,18train_size-3predict_size,418.3134936,298554.5077,546.4014163,12.03262633
22,5train_size-6predict_size,430.1492924,301756.3733,549.3235598,12.20488235
105,19train_size-5predict_size,430.6893151,390786.1071,625.1288724,11.11996328
4,2train_size-6predict_size,434.3140402,309993.2898,556.7704103,12.42100067
87,16train_size-5predict_size,439.18292,317900.0205,563.8262326,12.52226911
119,21train_size-7predict_size,440.2162028,366081.1747,605.0464236,11.59427152
15,4train_size-5predict_size,440.8859179,397370.9833,630.3736855,11.42781691
10,3train_size-6predict_size,443.2531565,320949.5998,566.5241388,12.66269596
69,13train_size-5predict_size,453.3458013,414328.7132,643.6837058,11.77731367
20,5train_size-4predict_size,453.3988327,437101.1775,661.1362776,11.47502221
70,13train_size-6predict_size,459.580079,410629.5616,640.8038402,12.15909696
41,8train_size-7predict_size,466.0607925,407265.7812,638.1737861,12.52913315
39,8train_size-5predict_size,466.5584961,425278.8785,652.1340955,12.17815564
82,15train_size-6predict_size,469.2758487,360819.7393,600.6827277,13.45392295
109,20train_size-3predict_size,473.6372963,499501.6521,706.7543082,11.54886241
27,6train_size-5predict_size,486.3410597,453961.0309,673.7663029,12.747178
28,6train_size-6predict_size,486.4930275,437851.6216,661.7035753,12.97246296
118,21train_size-6predict_size,487.7659688,449374.9652,670.3543579,13.11136082
101,18train_size-7predict_size,489.8983907,486967.366,697.8304708,12.17025477
100,18train_size-6predict_size,490.135915,453191.6105,673.1950761,13.12896917
75,14train_size-5predict_size,491.1338597,449234.916,670.2498907,12.81381827
5,2train_size-7predict_size,491.7157364,495205.5389,703.7084189,12.31908857
64,12train_size-6predict_size,494.8093233,455475.9918,674.8896145,13.27585785
