,term,MAE,MSE,RMSE,MAPE
0,2train_size-2predict_size,686.5147411326036,781217.9811087926,883.8653636775188,16.50633108838144
1,2train_size-3predict_size,319.7388828510025,167745.4492254752,409.5673927761769,9.0155082991717
2,2train_size-4predict_size,447.7606597075591,333490.64957514295,577.4864929806955,12.863286700960622
3,2train_size-5predict_size,467.3776526409647,350501.8610554203,592.0319763791651,13.33219020046757
4,2train_size-6predict_size,353.70641689613217,300912.25443770643,548.5546959398912,8.850749273339312
5,2train_size-7predict_size,531.3525674242053,527333.9146478218,726.1776054436144,13.37128125126199
6,3train_size-2predict_size,396.6714239273479,282649.9894039406,531.6483700755045,11.553303356382838
7,3train_size-3predict_size,323.23777546762994,194123.95144053877,440.59499706707834,9.254176174199838
8,3train_size-4predict_size,332.49999043232685,181650.86688442045,426.2051934038585,9.378315987492119
9,3train_size-5predict_size,312.92367182192595,165820.0168626028,407.21004022813923,8.8261267496669
10,3train_size-6predict_size,482.2143874871926,363842.9521296424,603.1939589631535,13.668779962541052
11,3train_size-7predict_size,302.0403604312819,150473.34155756832,387.90893461941334,8.17123894175734
12,4train_size-2predict_size,347.5514542686748,222143.877176917,471.32141599646945,10.08821290498426
13,4train_size-3predict_size,223.52916692918348,87195.26350825331,295.2884412032637,6.075635356807245
14,4train_size-4predict_size,532.1904042836782,532531.7332695356,729.7477189204058,13.929699425356167
15,4train_size-5predict_size,353.3788890009341,197328.86132972495,444.2171330889039,9.794954549106608
16,4train_size-6predict_size,339.3361422846226,186305.58808522605,431.63131036247364,9.461437385534897
17,4train_size-7predict_size,301.7560667220614,157427.01415112778,396.77073247799893,8.33371144141717
18,5train_size-2predict_size,449.99313207616143,378613.6927608368,615.3159292272846,10.638809866375395
19,5train_size-3predict_size,259.939703828545,116759.56784344201,341.7009918678054,7.26535189143635
20,5train_size-4predict_size,447.73098837362755,433434.97209719283,658.3577842611058,11.363435196453787
21,5train_size-5predict_size,382.2764059315557,247844.97122330885,497.84030694923536,10.865034937326074
22,5train_size-6predict_size,603.9343335094347,584143.6943376107,764.2929375165066,15.089807858739333
23,5train_size-7predict_size,647.8183338877919,736097.5028567401,857.9612478758817,16.127505090981746
24,6train_size-2predict_size,902.6363636363636,1281629.35828877,1132.0907023241425,20.27513399257422
25,6train_size-3predict_size,280.8538525215614,141990.93262604592,376.8168422802329,8.058326768727667
26,6train_size-4predict_size,220.34338774809967,87943.73092529,296.5530828119816,5.844923026336684
27,6train_size-5predict_size,286.68734369692595,141955.6434952687,376.77001406065835,8.119160525425958
28,6train_size-6predict_size,592.8859331864043,637983.041880489,798.7384064138201,15.155340426187266
29,6train_size-7predict_size,315.11153681349344,177810.44176080264,421.67575429564675,8.987795425645572
30,7train_size-2predict_size,226.1813501368232,90930.87807893004,301.5474723471083,6.323623408803098
31,7train_size-3predict_size,403.03794330337143,286796.54889154714,535.5338914499689,11.697302965711966
32,7train_size-4predict_size,232.8077310098184,97444.85261085363,312.1615809334224,6.45339219077517
33,7train_size-5predict_size,615.1169754691746,691438.2529550495,831.5276621706878,15.407114581397835
34,7train_size-6predict_size,406.0158175553563,285529.9598514386,534.3500349503485,11.683052955065433
35,7train_size-7predict_size,408.58013638147565,340320.20649516553,583.3696996717995,10.820522940487667
36,8train_size-2predict_size,412.0334707657921,308682.1831513956,555.5917414355577,9.884112526263692
37,8train_size-3predict_size,310.9493648843526,183071.04340903435,427.8680210170355,9.06137867709151
