,term,MAE,MSE,RMSE,MAPE
0,2train_size-2predict_size,368.21862401299296,253124.77866884874,503.115074976738,10.777791062410516
1,2train_size-3predict_size,388.4861211742552,272110.9761245796,521.6425750689639,11.354618851989324
2,2train_size-4predict_size,285.15054403769005,132936.4432265168,364.6045024770221,7.906123237692681
3,2train_size-5predict_size,586.6411151388417,640216.6234615569,800.1353782089359,14.429350157736373
4,2train_size-6predict_size,515.941878077328,476588.4316026688,690.3538452146614,13.775813621210482
5,2train_size-7predict_size,521.726423757604,526405.5295780721,725.5380965725178,13.16253746311635
6,3train_size-2predict_size,344.18274056337737,220618.5485495914,469.70048813003314,10.018431721544511
7,3train_size-3predict_size,458.4245106686828,488398.1416708086,698.8548788345179,11.138792662853
8,3train_size-4predict_size,306.23831259237755,162980.39840932336,403.70830857108126,8.7188044157298
9,3train_size-5predict_size,607.944751507303,659655.2308813999,812.1916220211829,14.931560036061189
10,3train_size-6predict_size,774.2900897583675,991436.6401354802,995.7091142173402,18.417805452966338
11,3train_size-7predict_size,514.456936583227,464759.00495619286,681.7323558084895,13.89765832648449
12,4train_size-2predict_size,233.92292859082553,96923.15205041163,311.32483365515776,6.605587819976202
13,4train_size-3predict_size,392.4488534141185,274354.52010336175,523.7886215863817,11.410534436912492
14,4train_size-4predict_size,504.78744160420183,501744.2778538597,708.3390980694626,13.14130828260984
15,4train_size-5predict_size,317.38025937287705,161675.47016963214,402.08888341961426,8.54596651057712
16,4train_size-6predict_size,381.61939277023566,228427.535360749,477.94093292032335,10.588912354793797
17,4train_size-7predict_size,430.3206005246149,300262.04196868493,547.9617157874125,12.19206861650689
18,5train_size-2predict_size,312.217765604111,163797.5122225766,404.7190534464329,8.85631431755584
19,5train_size-3predict_size,364.445564953657,240669.8365463637,490.58112126983,10.574985912616237
20,5train_size-4predict_size,496.12398945576433,473216.27965764166,687.9071737216016,12.61173581152557
21,5train_size-5predict_size,437.48683285920515,386001.2002863531,621.2899486442326,11.095905846730394
22,5train_size-6predict_size,403.006468614811,341618.2975938489,584.4812209077799,10.339601391116616
23,5train_size-7predict_size,466.459200537186,394150.1445771842,627.8137817674793,12.40161525947147
24,6train_size-2predict_size,333.1169329148563,184970.40482323914,430.0818582819312,9.44769127315278
25,6train_size-3predict_size,383.43495052433354,262580.4582924423,512.426051535675,11.13936766087808
26,6train_size-4predict_size,362.85399268897805,239777.9778000176,489.67129566681524,10.539059090276671
27,6train_size-5predict_size,287.71404737389605,137048.43541717977,370.20053405847455,7.915062054618708
28,6train_size-6predict_size,464.8239577107525,420255.5212778623,648.2711788116624,12.385969743158046
29,6train_size-7predict_size,340.6429171240311,203462.5207459093,451.0681996615471,9.730473637403131
30,7train_size-2predict_size,268.3997665650067,134282.68169620808,366.4460147091357,7.764566082840912
31,7train_size-3predict_size,279.0585517473118,138243.37046748077,371.8109337653759,8.037129005159724
32,7train_size-4predict_size,496.8876774968328,472841.96442655433,687.6350517727803,12.667907023677301
33,7train_size-5predict_size,395.3565899392833,266640.031865137,516.3719898146461,11.386418736924329
34,7train_size-6predict_size,365.6472494823685,236332.4829351453,486.14039426398756,10.52130609410954
35,7train_size-7predict_size,472.5438956795158,425885.5668153019,652.5990858216873,12.83635148745928
36,8train_size-2predict_size,562.4138144426805,680143.9524582879,824.708404503245,13.152937698582601
37,8train_size-3predict_size,280.1476293857807,131167.25418231127,362.170200571929,7.79128962519536
38,8train_size-4predict_size,457.843207281989,438413.4748500842,662.1279897799852,11.593090502114938
39,8train_size-5predict_size,461.3207928201427,347123.4646760596,589.1718464727074,13.210447205461746
40,8train_size-6predict_size,314.25595076097164,176320.51566631606,419.90536513161635,8.993865063925334
41,8train_size-7predict_size,387.614569982891,258628.61278244734,508.55541761193274,11.058942924882889
42,9train_size-2predict_size,567.1634710791277,682633.6580545409,826.2164716674081,13.234469501623094
43,9train_size-3predict_size,283.2513484613015,136692.95930858946,369.7201094187189,7.980693658848955
44,9train_size-4predict_size,633.8988485800253,751595.5042692482,866.9460792167229,15.36169187993068
45,9train_size-5predict_size,284.065685769786,140400.72511381732,374.7008474954618,7.901400572796133
46,9train_size-6predict_size,350.68890658797244,207485.5893279869,455.5058609150786,9.90747488387465
47,9train_size-7predict_size,274.58974984975964,134167.57881695818,366.28892805674343,7.566416377725058
48,10train_size-2predict_size,423.8439295151654,304758.29749850556,552.0491803259068,12.19121893979843
49,10train_size-3predict_size,271.77366588961695,122189.19270191249,349.555707580226,7.454922809673355
50,10train_size-4predict_size,235.97071170291386,100608.52022980823,317.18846169085066,6.429440387423773
51,10train_size-5predict_size,388.1981509001359,353100.55110370426,594.2226443881992,9.815701906547861
52,10train_size-6predict_size,551.8502110549009,594010.4333889504,770.7207233420874,14.029070439568223
53,10train_size-7predict_size,322.86116581172735,179616.02602135457,423.8113094542836,9.066264954745957
54,11train_size-2predict_size,363.66077182382185,245746.58297084886,495.72833585629223,10.634992164823164
55,11train_size-3predict_size,388.9812803644433,267485.271425261,517.1897827927975,11.29563363383971
56,11train_size-4predict_size,420.00524407464104,407924.02573338035,638.6893029739737,10.44974415320346
57,11train_size-5predict_size,292.16652142068614,149288.01033662714,386.3780665832717,8.23921115272498
58,11train_size-6predict_size,513.1500688841217,475801.6875897898,689.7837977147548,13.772122848143448
59,11train_size-7predict_size,404.6811101844584,284562.88153455144,533.4443565495387,11.670292211984355
60,12train_size-2predict_size,236.2758155863553,104523.05067770701,323.3002484962036,6.7697190202065896
61,12train_size-3predict_size,267.97073725218416,123898.07813062014,351.9915881532116,7.5572204642251934
62,12train_size-4predict_size,508.216180254962,509079.90332276816,713.4983555151113,13.310157448387189
63,12train_size-5predict_size,433.7157629925272,400478.88798534,632.8340129807658,11.31068875838594
64,12train_size-6predict_size,290.7966753294342,145601.19830616217,381.57725077127196,8.094067370605812
65,12train_size-7predict_size,346.9509124037235,205484.86524991272,453.30438476801953,9.833023276781368
66,13train_size-2predict_size,259.2699346695354,115559.68566839676,339.94070904849974,7.249889808407492
