term,MAE,MSE,RMSE,MAPE
2train_size-2predict_size,810.9013136593416,971981.5180957145,985.8912303574439,19.99964389916365
2train_size-3predict_size,850.8524541820676,1092023.7376417818,1044.999396000678,20.350648040082504
2train_size-4predict_size,734.1539465002112,691473.4050955441,831.5487989862917,20.159776219012137
2train_size-5predict_size,732.4303488026494,689424.5387410889,830.3159270669743,20.133626628877472
2train_size-6predict_size,736.3417755293716,695765.9023707781,834.1258312573578,20.222192728856797
2train_size-7predict_size,761.1174692007212,780963.8388988944,883.7215844930429,20.261229523642914
3train_size-2predict_size,724.475520659258,675770.0645812438,822.052349051594,19.83715727653901
3train_size-3predict_size,732.4206875490031,716136.7940923419,846.248659728535,19.959199683858795
3train_size-4predict_size,727.2297844964105,680564.6229125599,824.9634070142505,19.87332065083544
3train_size-5predict_size,773.3367049507473,816977.599338334,903.8681316089942,20.32130103269284
3train_size-6predict_size,736.6689764415414,694405.8290301234,833.3101637626434,20.22441112494384
3train_size-7predict_size,738.6524319012461,699208.6585092518,836.1869758069972,20.29751220699426
4train_size-2predict_size,731.574251389121,691019.3603355763,831.2757426603861,20.08102745585637
4train_size-3predict_size,718.3746972306228,665387.4957570645,815.7128758068396,19.57743948875916
4train_size-4predict_size,740.9315640836148,700757.2281589411,837.1124345982092,20.357009349643935
4train_size-5predict_size,717.9385418435802,664767.7828772267,815.3329276297055,19.664714878854852
4train_size-6predict_size,748.4814590982184,716758.9648779206,846.6161851027422,20.521006663082982
4train_size-7predict_size,772.3584655091003,848542.3363359935,921.1635774041403,19.93528194933557
5train_size-2predict_size,737.6871161639372,688021.5026048606,829.4706158778987,20.132847289046094
5train_size-3predict_size,716.2279494637656,667064.452966306,816.7401379669705,19.589179718161017
5train_size-4predict_size,728.4798554291597,685480.7748707833,827.9376636382617,19.91614174016805
5train_size-5predict_size,730.7545532226562,684627.7488313823,827.4223521463402,20.012734693876965
5train_size-6predict_size,714.9669191676628,657715.6019791734,810.9966719901959,19.53515384083867
5train_size-7predict_size,823.7438121657918,1013930.6897298043,1006.941254358865,20.04772446020259
6train_size-2predict_size,713.1186862884358,658987.7940230498,811.7806317121946,19.512568327328935
6train_size-3predict_size,727.5397004158266,683267.4452909967,826.5999306139558,19.86455344143138
6train_size-4predict_size,768.1725199931377,829826.6607672566,910.9482206839511,19.94553048808651
6train_size-5predict_size,721.3406679899796,669190.253379283,818.0404961731925,19.71958048404207
6train_size-6predict_size,784.2555767677738,878890.9624535999,937.4918466064651,19.940136245333715
6train_size-7predict_size,756.6683514413878,737612.7945488273,858.843870880399,20.724195874460214
7train_size-2predict_size,712.5634413122493,657934.801656266,811.131802887956,19.509726378886967
7train_size-3predict_size,712.8482504130264,658452.8358697605,811.4510680686546,19.45483280130191
7train_size-4predict_size,703.0409684464738,666930.962224487,816.6584122045685,19.16357937455646
7train_size-5predict_size,760.6233884065048,795662.6498065628,891.9992431647926,19.949709529185885
7train_size-6predict_size,753.0646790329007,772835.8105916651,879.1108067767482,19.87769797914469
7train_size-7predict_size,718.3847924536401,678058.890801715,823.4433136541428,19.817341723132273
8train_size-2predict_size,707.9576540044285,640117.8494699786,800.0736525283023,19.262984259782066
8train_size-3predict_size,791.3965386284722,884349.1335463339,940.39839086758,20.166598885744797
8train_size-4predict_size,730.7110566010347,685789.5181467352,828.1240958616861,19.886697400227245
8train_size-5predict_size,752.8721117102582,799868.8012740944,894.3538456752419,19.767351005905216
8train_size-6predict_size,722.3533357436105,664675.1528760261,815.276120634001,19.724105774725935
8train_size-7predict_size,734.5835823286646,693847.4490618838,832.9750590875359,20.180104621238428
9train_size-2predict_size,712.2471199239639,649375.958775955,805.8386679577712,19.446058070647414
9train_size-3predict_size,777.0515731756832,857409.2574263042,925.9639611919592,19.77748007423774
9train_size-4predict_size,720.242370275549,666297.7932144155,816.2706617381367,19.771808682613838
9train_size-5predict_size,706.5621608568274,679004.4059928323,824.0172364658596,19.61101661143878
