term,MAE,MSE,RMSE,MAPE
2train_size-2predict_size,809.395157921123,969519.0917849579,984.6416057555957,19.934366957786846
2train_size-3predict_size,796.6103113099239,898906.9539232835,948.1070371657852,20.37800254671669
2train_size-4predict_size,725.5693431957347,674507.0484695367,821.2837807174428,19.861057972385108
2train_size-5predict_size,771.575049889606,814967.122076459,902.7552946820412,20.27866752722001
2train_size-6predict_size,752.293526849243,772571.5226864009,878.9604784553177,19.852538745751115
2train_size-7predict_size,779.9576615314095,861885.6866904704,928.3779869700005,20.08976216727415
3train_size-2predict_size,735.880167425635,693554.7846703082,832.7993663964378,20.173663428640015
3train_size-3predict_size,795.0699511018705,893133.7593477699,945.0575428765012,20.295805056226822
3train_size-4predict_size,703.6665398675042,667587.1824525078,817.0600849708103,18.769254359324673
3train_size-5predict_size,730.1023389733356,680775.2766348992,825.0910717217216,19.994216227926554
3train_size-6predict_size,812.9189404207934,979031.9466017041,989.4604320546143,20.088095470765165
3train_size-7predict_size,743.8700639134861,707338.7116969513,841.034310653823,20.426092126240796
4train_size-2predict_size,719.9653920872327,665335.7102833432,815.68113272488,19.653559653742242
4train_size-3predict_size,718.5980666512656,665073.0825320858,815.5201300593909,19.670886427405136
4train_size-4predict_size,739.292615735853,698303.9172088967,835.6458084672577,20.240657411299217
4train_size-5predict_size,833.0561491593071,1045961.0503739577,1022.7223720902745,20.205116622332074
4train_size-6predict_size,757.8079796184825,775446.2362010916,880.5942517420219,19.998623880151914
4train_size-7predict_size,777.573710538903,856080.0067530151,925.2459169069675,20.05764941450627
5train_size-2predict_size,820.5646776821524,991037.5252067482,995.5086766104795,20.243701485803744
5train_size-3predict_size,726.3651451192876,675612.4339282854,821.9564671734662,19.87687686431285
5train_size-4predict_size,710.2478370460304,650519.303928843,806.5477691549602,19.417387527968216
5train_size-5predict_size,737.7609194548234,778056.7566189372,882.0752556437218,18.8297011421908
5train_size-6predict_size,844.3568788955772,1080439.7312730907,1039.442028817909,20.15654820458191
5train_size-7predict_size,730.345281532084,716547.8523192265,846.491495715832,20.023249126967812
6train_size-2predict_size,714.2265481387867,659690.123568872,812.213102312978,19.541745630658873
6train_size-3predict_size,726.1659937485999,675309.1158024012,821.7719366116132,19.85137384790784
6train_size-4predict_size,819.2030576963682,986596.0821267187,993.2754311502518,20.2070783255336
6train_size-5predict_size,737.6969771675441,709083.5580444112,842.0709934705097,20.106292912224905
6train_size-6predict_size,849.9418954206512,1090594.1164036226,1044.3151422839862,20.334762586786102
6train_size-7predict_size,743.5022829256402,768582.3156737974,876.6882659610527,19.38135501983259
7train_size-2predict_size,704.551795021098,671002.17528158,819.1472244240225,19.183135516982926
7train_size-3predict_size,711.9799489667339,653208.7690543487,808.2133190280575,19.405625706385514
7train_size-4predict_size,720.0547976932011,663795.2012511727,814.7362771174319,19.701735472031892
7train_size-5predict_size,750.1986965013587,782930.3570457143,884.8335193954365,19.679159512270385
7train_size-6predict_size,757.0179498946949,778460.1940754385,882.3039125354928,20.03709131750305
