theme,datetime,title,new_content,sentiment
축산신문,2017-12-13,“정산방식 전환돼도 농가 수취가 변함없게”,"
정부가 박피도축 중단을 계기로 돼지가격의 등급정산제 정착을 독려하고 나섰다.
농림축산식품부는 지난 8일 등급정산제 전환 따른 지도·홍보를 대한한돈협회와 한국육류유통수출협회에 공식 요청했다.
농식품부는 지난 2015년 7월 한돈협회와 육류유통수출협회의 ‘등급정산제 정착을 위한 공동협약(MOU)’에 이어 최근 한국축산물처리협회의 박피도축 중단 방침과 실행에 따라 돼지가격 정산방식이 일시에 전환될 것으로 예상했다.
따라서 육가공업체들이 정산기준 전환을 빌미로 통상거래 관행을 벗어나 농가로부터 기존거래가격 보다 낮은 가격으로 구매하거나 정육점 등에 높은 가격으로 판매, 돼지고기 시장을 교란시키는 일이 없도록 신속하고 철저한 지도를 육류유통수출협회에 요구했다.
농식품부는 이와함께 한돈협회와 농협에서도 양돈농가들이 육가공업체들과 적정한 가격으로 거래할 수 있도록 등급정산제 전환과 관련한 사항을 적극 홍보하고 도매가격 등에 관한 정보를 제공해 줄 것을 당부했다.",
축산신문,2017-12-13,내년 한돈자조금 어떻게 쓰여지나 / 예비비·운영비·기타비용,"
내년에만 30억원 예상…지침 따라 운용
적립 한도 전체 예산 1/2 넘어선 안돼
운영비 소폭↑…징수수수료 거출금 7%



◆ 예비비
수급안정 예비비, 즉 시드머니(118억9천200여만원)와 기타예비비(2억3천700여만원) 등 총 121억3천여만원이 예비비로 배정됐다.
이 가운데 수급안정예비비는 공급조절과 소비확대, 소비자가격 안정, 신판로 개척, 수매·비축 등의 수급안정을 목적으로 적립하는 것으로 지난 2015년 1월1일부터 두당 200원씩 추가로 거출해 별도로 적립돼 왔다.
올해 11월 16일부터 시행되고 있는 수급안정예비비 조성 및 운용지침에 따르면 수급불균형으로 인한 돈가 폭등이나 폭락이 예상되는 긴급 상황시 양돈수급조절협의회의 조치 결과에 따라 관리위원회 및 대의원회의 의결을 거쳐 농림축산식품부의 최종 승인이 이뤄지면 사용을 하게 된다.
한국농촌경제연구원의 월별 돼지가격 전망을 기준으로 매월 또는 매 분기 돼지가격 상승 및 하락구간을 사전에 예측, 대비하여 수급안정 시나리오를 마련하게 되는데 시기별 구체적인 안정대책은 이미 제시돼 있다.
2015년 26억2천100여만원, 2016년 30억6천500여만원이 적립됐고, 올해는 32억100여만원이 적립될 것으로 추정되고 있다. 내년도 예상 적립금은 30억400여만원이다.
다만 수급안정예비비의 거출금 적립 한도는 연간 자조금예산의 1/2 이내로 규정하고 있는 만큼 지금처럼 집행없이 적립될 경우 오는 2020년 적립한도를 초과할 것으로 예상되고 있다.


◆ 운영비
14억1천800만원의 예산이 배정됐다.
이 가운데 11억5천500여만원이 인건비로 사용된다. 자조금 관련 업무 확대에 따른 부족한 인력충원 등을 위한 것으로 올해 보다 6천400여만원이 늘어나게 됐다.
물건비 5천200여만원, 기타경비 2억1천100여만원이 각각 책정됐다.



◆ 기타비용
내년 예산은 12억6천100여만원이다.
징수수수료(12억4천300여만원)가 그 대부분을 차지한다. 거출금 수납기관에 대한 수수료로 지급이 되며 농가거출금의 7%에 해당하는 액수다.
이밖에 대의원 선거 및 감사비용으로 1천800만원의 예산이 책정됐다.

<끝>",
축산신문,2017-12-15,등급정산제 조기정착 ‘올인’,"대한한돈협회(회장 하태식)가 등급정산제 조기 정착에 올인하고 있다.
잇따른 성명을 통해 일부 지급률 정산제 시도에 제동을 걸고, 다른 한편으론 등급정산제 정착 사례를 제시하며 양돈농가들을 독려하는 모습이다.
한돈협회는 지난 13일 일선 양돈조합을 중심으로 등급정산제를 조기 시행, 정착시킨 모범사례<표 참조>를 제시했다.
이에 따르면 도드람양돈농협, 부경양돈농협, 대전충남양돈농협 등 양돈농협들은 지난해부터 부산물을 조합이 수취하고, 도축비용은 전액 조합이 부담하는 등 농가부담을 최소화 하는 방법으로 등급정산제를 도입, 운영하고 있다.
이 가운데 도드람양돈농협은 브랜드 참여농가의 1+등급에 대해 장려금를 추가로 지급, 고품질의 돼지 생산 농가가 높은 가격을 받는 시스템을 구축하고 있다며 의미깊게 평가하기도 했다.
한돈협회는 돈가안정과 한돈 품질 향상을 위한 등급정산제의 필요성에 농가, 육가공, 소비자 어느 누구도 이견이 없음을 강조하고 현장의 혼란을 줄이고 안정적 등급정산제 정착을 위해 업계의 노력과 정부의 적극적인 정책지원을 다시 한번 강조했다.
한편 한돈협회는 같은날 성명을 발표하고 일부 육가공업체가 일방적으로 지급률 정산제로 계약을 시도하고 있다며 중단을 촉구했다.
한돈협회는 “일부 육가공업체는 박피도축 중단을 빌미로 등급정산제가 아닌 지급률제 전환을 시도하고 있는 것으로 전해졌다”며 “특히 일부 지역에선 기존의 박피 지급률로 환산시 67%에도 미치지 못하는 75%의 탕박 지급률 적용을 강요하는 퇴행적 시도로 충격을 주고 있을 뿐 만 아니라 담합의심 사례까지 나타나고 있다”고 주장했다.",
축산신문,2017-12-15,"“한돈산업, 高생산비·低생산성 넘어야”","한돈산업 발전을 위해서는 낮은 생산성과 높은 생산비를 극복해야 하며, 민간과 협동조합간의 패커 경쟁을 유도하는 한편, 효율적인 종돈개량과 첨단 친환경단지 조성, 한돈혁신센터 건립과 함께 식육혁신센터도 설립해야 한다는 내용의 그랜드플랜이 필요하다는 의견이 제시됐다.
이는 지난 13일 한국축산경제연구원(원장 석희진) 주최로 서울 양재동 소재 aT센터 4층 창조룸에서 열린 ‘2030 한돈산업 발전방안 심포지엄’에서 한국축산경제연구원 이상철 부원장이 내놓은 의견이다.
이날 열린 심포지엄은 축산신문, 농협경제지주축산경제, 대한한돈협회·한돈자조금관리위원회후원으로 개최됐다.
이상철 부원장은 “한국의 지육(돼지)단가가 일본 다음으로 비싸고, 덴마크와 네덜란드보다는 2.7배나 높다”며 이는 한돈산업의 경쟁력을 약화시키는 결과로 나타나게 될 것이라고 우려했다.
이 부원장은 “비육돈 생산비 역시 미국이 우리의 47% 수준에도 미치지 못하고 있고, 2016년 기준, 덴마크(PSY 32.1두, MSY 30.1두), 네덜란드(29.8두, 28.4두), EU(27.5두, 25.9두), 미국(25.7두, 23.4두) 등 양돈 선진국에 비해 낮은 PSY와 높은 이유자돈폐사율로 MSY 격차가 심한 상황임에도 네덜란드와 덴마크 등은 MSY가 매년 증가하고 있는 반면에 우리는 거의 정체 상태에 머물러 있다”며 이를 극복하지 못하면 한돈산업의 미래는 밝지 못할 것이라고 내다봤다. 우리나라는 PSY 20.7두, MSY 17.9두.
이 부원장은 원가절감형 사양관리에 주목하고, 실산자수 향상과 포유자돈 폐사율 감소, 모돈 체형관리가 PSY 향상의 관건이라며 PSY 40두 이론을 제시했다.
이와 함께 적정 모돈수 유지로 MSY를 늘려야 한다며 이를 위해서는 모돈수 10%를 줄이면서 판매두수는 15%이상 늘려야 한다는 것이다.
이 부원장은 한국형 종돈개량의 필요성을 설명하고 이를 위해서는 국가차원의 종돈개량 시스템을 구축해야 하며, 악취저감의 깨끗한 축산농장 조성을 위해서는 가축분뇨 통합관리시스템 구축 및 광역축산악취개선사업의 중요성을 강조했다.
이 부원장은 돈육가공선진화를 위해서는 협동조합형패커와 민간기업형패커를 동시에 육성하는 한편, 한돈산업 발전을 위해서는 동물복지형 양돈을 지향해야 함도 강조했다.",
축산신문,2017-12-21,한돈팜스 ’16년 전산성적·’18년 수급전망…주요 내용은,"PSY 20.7·MSY 18두…올해도 정체 추세
40%가 MSY 16두 미만…상-하위농 10두차
PSY는 좁혀져…이유 후 육성률 제고 시급



국내 양돈농가의 생산성이 수년째 정체 상태에 머물러 있는 것으로 나타났다.
전체 농가의 절반에 가까운 생산성 한계농장들로 하여금 이유후 육성률 향상에 더 많은 노력을 기울이도록 하는 게 국내 평균 생산성을 끌어올릴 수 있는 해법이라는 분석이 나왔다.
한돈자조금사업의 일환으로 지난 18일 서울 양재동 aT에서 개최된 대한한돈협회(회장 하태식)의 양돈전산프로그램 한돈팜스 2016년 전산성적 발표회 자리에서다.
한돈팜스의 분석을 담당한 애그리로보텍  함영화 대표에 따르면 2016년 통계청 자료기준 농가수로는 74.6%, 모돈수로는 94.8%가 한돈팜스에 입력했다.
이들의 전산성적을 분석한 결과 평균 PSY가 20.7두, MSY는 18두를 각각 기록했다.
올해(1~10월)는 PSY가 20.9두로 0.2두 늘어난 반면 MSY는 17.7두에 그치며 오히려 0.3두 감소한 것으로 집계됐다. 이는 PSY 21두(20.8두), MSY 18두(17.9두)였던 2014년(2015년)과 비슷하거나 오히려 밑도는 수준이다.
함영화 대표는 “한돈팜스가 본격 가동된 2014년에는 농가수도 적고, 전산관리를 해오거나 직접 입력이 가능한 농가를 중심으로 입력이 이뤄지다 보니 상대적으로 생산성이 높았던 것으로 추정하고 있다”며 “유난히 심했던 하절기 스트레스만 없었다면 2016년 이후의 생산성이 더 높았을 것”이라고 추정했다.
그렇다고 해도 그 차이는 크지 않을 것이란 분석은 그만큼 국내 양돈농가의 생산성이 수년간 큰 변화가 없음을 짐작할 수 있는 대목이다. 
함 대표는 이와 관련 지난 2년간 국내 전체 농가의 40% 안팎을 차지하고 있는 MSY 16두 미만의 생산성 한계농가를 제외할 경우 국내 양돈농가들의 평균 MSY는 20두 수준에 이를 것으로 분석했다. 결국 농가들이 국내 평균 생산성을 끌어내리는 주 요인이 되고 있다는 설명이다.
특히 2016·2017년 생산성 상하위 농가를 비교한 결과 PSY가 7두의 차이를 보인데 비해 MSY는 10두까지 벌어진 사실에 주목했다.
함영화 대표는 “국내에서는 번식 성적 향상에 집중할 뿐 막상 최종 생산비와 수익에 직결되는 이유후 육성률에는 상대적으로 소홀하다. 이는 생산성 한계농장에서 더 두드러진다”며 “이들 농장이 이유후 육성률을 높여 상위농장과 PSY 만큼 MSY의 차이를 좁힌다면 농장경영 호전은 물론 국내 평균 생산성도 끌어올릴 수 있을 것”이라고 강조했다.
2016년 생산성하위 10% 농가의 이유후 육성률은 71.9%, 하위 30%는 78.3%에 불과했다.



--------------------------------------------------------------------------------------------------------------------------------



“내년 돼지출하 1천700만두 상회”



1천716만5천두 전망…올해보다 2.6%↑될 듯
11월 166만여두 ‘최대’…돈가 4천600원 추정







내년엔 국내 돼지 출하량이 사상 처음으로 1천700만두를 넘어설 전망이다.
대한한돈협회는 지난 18일 ‘한돈팜스 2018년 수급전망 발표회’ 에서 이같이 밝혔다.
한돈협회 지도기획부 최재혁 과장에 따르면 한돈팜스 입력자료를 분석한 결과 내년도 돼지출하두수가 1천716만5천두에 달하는 것으로 전망됐다.
이는 1천672만8천두로 추정되는 올해보다 2.6% 증가한 것이다.
월별로는 11월 165만4천45두로 최대량이, 7월에 125만5천450두로 최소량이 각각 출하될 것으로 예상됐다.
다만 도축작업일을 감안한 하루 도축량은 2월(18일 작업, 7만7천680두)이 가장 많을 것이란 분석이다. 22일 작업이 이뤄질 것으로 예상되는 7월은 월간 출하량과 함께 하루 도축량(5만7천66두)도 가장 적을 것으로 분석됐다. 9월은 내년에 두 번째로 월간 돼지출하량(126만5천240두)이 적지만 추석연휴로 작업일이 17일에 불과, 하루 도축량은 올해와 비슷한 수준이 될 것으로 전망됐다.
최재혁 과장은 이에대해 “수급전망의 기초자료는 월별 모돈두수, 교배, 분만복수, 총산자수, 이유두수, 2개월령, 4개월령 비육돈 두수 등을 활용해 추정한 것”이라면서 “여기에 월별 작업일수 등을 반영한 후, 종돈,사료,유통 등 각 분야별 전문가회의를 통해 외적 요인들을 고려, 최종 산출한 것”이라고 설명했다.
이에 따라 내년엔 국내 돼지고기 생산량이 90만9천600톤에 이를 것으로 예상되지만 돼지고기 수입이 30만톤으로 줄면서, 총 공급량은 올해 보다 감소한 120만9천600톤에 머물 것으로 예상됐다. 다만 출하두수 증가에 따라 연 평균 돼지가격은 탕박기준 지육 kg당 4천600원선에 형성되며  올해(4천900원)보다 300원 정도 낮을 전망이다.",
축산신문,2017-12-26,정액 판매 연간 80만병 돌파,"(주)다비육종(대표이사 민동수)이 지난 15일 국내 최초로 돼지액상정액 연간판매 80만병을 돌파했다.
이에 따라 80만병째 제품 구입자인 기대축산(대표 박인하)에서 기념행사를 갖고 의미를 다졌다.
 다비육종은 이에 대해 직영 및 협력센터에 우수한 유전능력의 웅돈 우선 공급과 고품질 돼지 액상정액 생산을 위한 전 직원의 노력 그리고 고객 양돈농가들이 자사 유전자에 대한 가치를 인정해준 결과라고 평가했다.
기대축산은 경기도 여주시 점동면에 위치한 모돈 300두 규모의 다비육종 브랜드(도야지친구들) 회원농가. 2001년부터 다비육종의 유전자원을 꾸준히 사용, 지속적인 생산성 향상을 보여왔다.",
축산신문,2017-12-16,“축분뇨 발효액 자체 품질관리 강화”,"
친환경자연순환농업협회(회장 박강순)가 2018년 새해를 자연순환농업 완전정착의 해로 선언했다.
지난 20일 충남 공주 소재 동학산장에서 개최된 2017년 정기총회 자리에서다.
이를 위해 전국의 가축분뇨자원화조직체 회원들이 ‘깨끗한 축산환경 조성’의 핵심주체로서 역할을 수행해 나갈 것을 결의했다.
자연순환농업협회는 그 실천방안으로 우선 가축분뇨의 신속한 수거와 처리에 나서되 고품질 가축분뇨 발효액의 생산 및 건전한 유통환경 조성에도 진력키로 했다.
가축분뇨 발효액의 경종농가 신뢰도 향상을 위한 협회 자체적인 품질관리 및 불법살포 계도 활동도 펼쳐나간다는 계획이다.
자연순환농업협회는 또 가축분뇨 발효액이 비료로서 정당한 가치를 평가받기 위한 비료관리법 확보 등 제도적 개선과 함께 가축분뇨 자원화조직체 운용차량에 대한 면세유 적용 등 경영개선 발효액 이용 활성화를 위한 대정부 활동에도 역량을 기울이기로 했다.
자연순환농업협회 박강순 회장은 “지금까지 가축분뇨 자원화가  ‘처리’의 시각으로 접근돼 왔다면 앞으로는 ‘이용’이라는 개념하에 품질, 유통, 제도 등 모든 분야를 접근해야 한다”면서 “협회 차원에서도 발효액 생산기술 향상 및 품질관리를 위한 내부 정화활동, 그리고 원예, 특작 등으로의 이용범위 확대를 위해 모든 노력을 다하겠다”고 밝혔다.
",
축산신문,2017-12-26,무허가축사 적법화 성공모델이 “왜”,"
양돈농 “대개 영세 임대…추가비용 감안시 수용 불가”
“형평성보단 개발지역 양돈퇴출 근본 목적” 의혹 제기



용인시가 내년부터 공공처리장에 대한 가축분뇨 처리비용을 100% 인상할 계획이어서 양돈농가들의 반발을 사고 있다.
다른 곳도 아닌, 무허가축사 적법화의 성공적인 표본모델로 축산업계의 관심과 기대를 한몸에 받아온 용인시이기에 그 배경에 관심이 모아지고 있다.
용인시는 최근 포곡읍 소재 공공처리장에 대한 가축분뇨 처리비용을 톤당 6천원에서 1만2천원으로 인상할 계획임을 해당 양돈농가들에게 통보했다.
지난 2015년까지 톤당 1천원이었던 것을 감안하면 3년새 무려 1200% 인상되는 것이다.
용인시측은 이에 대해 “타지역 공공처리장과 비교해 조정비용이 결코 무리한 수준은 아니라고 생각한다”며 “그동안 형평성에 대해 지적이 끊이지 않아왔다. 보편적인 수준으로 조정하기 위한 조치”라고 설명했다.
하지만 용인시 공공처리장을 이용하는 포곡읍내 60여개 양돈장들은 생각이 다르다.
이 지역의 한 농가는 “공공처리장까지 가축분뇨를 수집 운반하는 데 톤당 4천500원이 추가로 든다. 게다가 용인시가 공공처리장 반입 가축분뇨에 대한 수질기준을 강화, 물을 반 정도 섞어 내보내야 하기 때문에 실제 비용은 2배 가까이 투입된다”며 “대부분 1천두 안팎의 영세 임대 농가다 보니 인상되는 처리비용은 감당하기 힘든 수준”이라고 털어놓았다.
그러다보니 용인시의 이번 방침이 급격히 도시화 되고 있는 포곡읍 관내 양돈농가 퇴출을 염두에 둔 것 아니냐는 시각도 해당 양돈농가들 사이에 확산되고 있다.
또 다른 양돈농가는 “용인시가 얼마전 건물보상을 전제로 가축분뇨 배출 허가증 반납을 양돈장 소유주들에게 제안한 것도 같은 맥락 아니겠느냐”며 “그렇다고 해도 공공처리장 설치 당시 관내 가축분뇨는 무조건 받아주겠다는 약속을 져버리는 것은 있을 수 없다”고 지적했다.
그는 농장문을 닫을 경우 생계가 불가능, 다른 지역과 마찬가지로 적절한 폐업보상이 이뤄져야 하지만 용인시는 이러한 요구마저 외면하고 있는 상황이라고 반발했다.
포곡읍내 양돈농가들은 이에 따라 용인시가 당초 계획을 강행할 경우 행정소송까지 검토하겠다는 입장인 것으로 알려졌다.",
축산신문,2017-12-26,한돈팜스 통해 본 한국양돈 ‘구멍’ <상> / 이유 후 육성률,"작년 평균 86.7%…규모 클수록 더 낮아
100두 중 15두 비싼 사료 먹고 죽는 셈
번식구간에만 치중…이후 생산성 ‘소홀’
최종 생산품 자돈 아닌 ‘성돈’…대책 시급



양돈전산프로그램 한돈팜스의 2016년, 2017년(1~10월) 전산분석 결과를 통해 생산성이 수년째 정체상태인 국내 양돈현장의 몇가지 치명적인 문제점이 다시 한번 확인됐다.
이 가운데 상대적으로 저조한 이유후 육성률은 농가수익에 직결된다는 점에서, 같은 농장이라도 시기에 따라 들쑥날쑥한 번식성적은 밀사의 또다른 원인이 되고 있다는 점에서 그 대책이 시급하다는 분석이다.



◆ 농가손실 ‘비교불가’
한돈팜스 분석 결과 지난해 국내 양돈장의 이유후 육성률은 평균 86.7%(2017년 84.6%)였다.
지난 2년간 국내 농장에서 사육되고 있는 비육돈 100두 가운데 15두가 비싼 사료와 동물약품, 인건비 등 상당한 생산비가 투입된 상태에서 폐사하고 있는 셈이다. 때문에 산자수의 증감이나 자돈기 폐사 때와는 농가 손실의 비교 자체가 불가능하다.
한돈팜스 분석을 담당한 애그리로보텍 함영화 대표는 이에대해 “전반적으로 국내 양돈농가들이 번식구간의 생산성에만 치중할 뿐 이후 육성 비육구간에는 상대적으로 관심히 소홀하기 때문”이라고 지적한다.


◆ “많이 낳으면 뭐하나”
이같은 추세는 사육규모별 이유후 육성률에서 쉽게 짐작해 볼 수 있다.
한돈팜스 입력 농가들의 2016년 모돈 사육규모별 이유 후 육성률을 보면 ▲1~100두미만 89.3% ▲100-200두 87.2% ▲200-300두 86.6% ▲300-400두 84.8% ▲400-500두 83.7%, ▲500-1000두 83.4% ▲1천두 이상 85%을 각각 기록했다. 전반적으로 사육규모가 클 수록 이유후 육성률이 떨어지고 있는 것을 알 수 있다. 올해(1~10월)도 별반 다르지 않았고, 이전 시기도 마찬가지였다.
반면 총 산자수나 복당 이유두수 부문에서는 모돈 사육규모가 큰 농장일수록 성적이 우수한 것으로 나타났다.
이들의 번식기술이나 시설이 상대적으로 앞서 있음을 뒷받침하는 대목이다. 그럼에도 불구하고 이유 후 육성률이 더 떨어진다는 것은 결국 해당구간에 대한 관심과 노력이 부족하다는 것 외에는 설명이 되지 않는다.



◆ “문제 인식 못해”
함영화 대표는 “많은 양돈농가들이 오로지 번식성적 향상에만 초점을 맞추고 있다”며 “하지만 자돈을 많이 생산해 놓으면 출하도 늘어야 하는데 끝까지 살릴 수 있는 기술과 사양관리가 뒤따르지 못하고 있는 게 현실”이라고 지적했다.
무엇보다 이러한 현상이 전혀 문제되지 않고 있는 국내 양돈업계의 분위기는 그 심각성을 더하고 있다는 분석이다.
양돈농가가 파는 제품은 자돈이 아닌, 다 큰 돼지다. 최종 생산제품과 수익이 결정되는 구간이 어디인지 냉정히 되짚어보고, 조금이라도 더 돼지출하두수를 늘리고 수익률을 높일 수 있는 대책을 마련해 실천에 옮기는 노력이 절실하다. ",
오늘의 뉴스,2017-12-14,한돈 소비 뚝…출하 줄어도 재고 늘어(12/14),"					한돈 소비 뚝…출하 줄어도 재고 늘어10월 3만톤 전월비 27% ↑삼겹·목등심 전년비로도 많아출하 감소에도 한돈 재고가 늘었다. 특히 한돈 소비를 주도하는 구이 부위의 소비 부진이 나타나고 있다.최근 육류유통수출협회에 따르면 10월 한돈 재고는 3만1천여톤으로 지난해 동월 3만7천여톤에 비해서는 16% 감소했지만 전달 2만4천톤보다 무려 27% 급증했다. 더구나 10월은 출하물량이 전달대비 17% 가량 감소했음에도 재고는 크게 증가한 것이다. 올해 줄곧 감소세를 보이던 한돈 재고가 9월에 이어 10월까지 두 달 연속 늘면서 한돈 시장의 위축을 짐작케 하고 있다.특히 한돈 재고에서 구이 부위의 소비 부진이 심한 것으로 읽히고 있다. 삼겹살과 목등심이 10월 각각 6천100톤, 5천톤으로 전월대비 17.5%, 46% 증가했으며 일년전과 견줘서도 27.5%, 20.1% 많았다. 삼겹은 올 들어 재고가 가장 많았다. 또 그동안 상대적으로 소비가 활발히 이뤄졌던 전지, 후지도 명절 소비가 줄면서 10월 재고가 각각 4천300톤, 7천톤으로 전달에 비해 46%, 24% 증가했다. 반면 기타 부위는 꾸준히 소비가 늘면서 10월 재고가 1천여톤으로 전년 동월에 비해 70%, 전달보다 6.2% 감소했다.				저작권자 © 양돈타임스 무단전재 및 재배포 금지양돈타임스다른기사 보기 ",
